guid,Question,Answer,tags
kpss-c1,Türkiye'nin en yüksek dağı hangisidir?,Ağrı Dağı,KPSS::Cografya
kpss-c2,En uzun nehrimiz hangisidir?,Kızılırmak,KPSS::Cografya
kpss-c3,En büyük gölümüz hangisidir?,Van Gölü,KPSS::Cografya
kpss-c4,Karadeniz Bölgesi'nin en karakteristik iklimi nedir?,Her mevsim yağışlı,KPSS::Cografya
kpss-c5,Akdeniz ikliminin bitki örtüsü nedir?,Maki,KPSS::Cografya
kpss-c6,Türkiye'nin komşularından biri hangisidir?,Yunanistan,KPSS::Cografya
kpss-c7,En çok göç alan ilimiz hangisidir?,İstanbul,KPSS::Cografya
kpss-c8,İç Anadolu Bölgesi'nin en büyük şehri hangisidir?,Ankara,KPSS::Cografya
kpss-c9,Ege Bölgesi'nde dağlar denize nasıl uzanır?,Dik,KPSS::Cografya
kpss-c10,Türkiye'nin en güney ucu hangi ilimizdedir?,Hatay,KPSS::Cografya
